origin,origin_kind,rank,destination,destination_kind,distance,reverse_distance
0,base,1,1,source,1.0,1.15509446019219
0,base,2,78,customer,6.0,6.0
0,base,3,243,customer,6.0,6.0
0,base,4,291,customer,6.0,6.0
0,base,5,134,customer,8.0,8.0
0,base,6,59,customer,11.0,12.0
0,base,7,185,customer,11.0,12.0
0,base,8,192,customer,11.0,12.0
0,base,9,162,customer,15.0,14.0
0,base,10,121,customer,17.0,17.0
1,source,1,0,base,1.15509446019219,1.0
1,source,2,78,customer,6.0,6.0
1,source,3,243,customer,6.0,6.0
1,source,4,291,customer,6.0,6.0
1,source,5,134,customer,9.0,9.0
1,source,6,59,customer,11.0,12.0
1,source,7,185,customer,11.0,12.0
1,source,8,192,customer,11.0,12.0
1,source,9,162,customer,15.0,14.0
1,source,10,135,customer,17.0,14.0
2,customer,1,107,customer,0.254966094807735,0.254966094807735
2,customer,2,282,customer,0.254966094807735,0.254966094807735
2,customer,3,16,customer,3.0,3.0
2,customer,4,41,customer,3.0,3.0
2,customer,5,55,customer,3.0,3.0
2,customer,6,139,customer,3.0,3.0
2,customer,7,193,customer,3.0,3.0
2,customer,8,194,customer,3.0,3.0
2,customer,9,238,customer,3.0,3.0
2,customer,10,17,customer,4.0,3.0
3,customer,1,88,customer,0.0,0.0
3,customer,2,308,customer,1.63936667549217,1.63936667549217
3,customer,3,103,customer,9.0,9.0
3,customer,4,177,customer,9.0,9.0
3,customer,5,316,customer,9.0,9.0
3,customer,6,49,customer,14.0,14.0
3,customer,7,124,customer,14.0,14.0
3,customer,8,158,customer,14.0,14.0
3,customer,9,209,customer,14.0,14.0
3,customer,10,292,customer,14.0,14.0
4,customer,1,136,customer,0.0,0.0
4,customer,2,267,customer,2.0,2.0
4,customer,3,69,customer,3.0,3.0
4,customer,4,196,customer,3.0,3.0
4,customer,5,279,customer,3.0,3.0
4,customer,6,92,customer,5.0,5.0
4,customer,7,257,customer,5.0,6.0
4,customer,8,275,customer,5.0,5.0
4,customer,9,318,customer,5.0,5.0
4,customer,10,73,customer,6.0,6.0
5,customer,1,32,customer,0.0,0.0
5,customer,2,67,customer,0.0,0.0
5,customer,3,126,customer,0.0,0.0
5,customer,4,269,customer,0.0,0.0
5,customer,5,302,customer,0.0,0.0
5,customer,6,311,customer,0.0,0.0
5,customer,7,324,customer,0.0,0.0
5,customer,8,58,customer,4.0,4.0
5,customer,9,142,customer,4.0,4.0
5,customer,10,154,customer,4.0,4.0
6,customer,1,63,customer,1.0,1.0
6,customer,2,81,customer,3.0,3.0
6,customer,3,156,customer,25.0,26.0
6,customer,4,128,customer,28.0,28.0
6,customer,5,295,customer,28.0,28.0
6,customer,6,172,customer,32.0,32.0
6,customer,7,214,customer,32.0,33.0
6,customer,8,239,customer,32.0,32.0
6,customer,9,20,customer,53.0,53.0
6,customer,10,249,customer,56.0,57.0
7,customer,1,83,customer,0.724595775235271,0.724595775235271
7,customer,2,105,customer,1.0,1.0
7,customer,3,93,customer,17.0,17.0
7,customer,4,321,customer,17.0,17.0
7,customer,5,56,customer,19.0,19.0
7,customer,6,122,customer,19.0,11.0
7,customer,7,36,customer,25.0,25.0
7,customer,8,252,customer,25.0,25.0
7,customer,9,29,customer,26.0,26.0
7,customer,10,123,customer,26.0,26.0
8,customer,1,118,customer,8.0,8.0
8,customer,2,168,customer,23.0,24.0
8,customer,3,29,customer,30.0,31.0
8,customer,4,211,customer,32.0,33.0
8,customer,5,106,customer,33.0,24.0
8,customer,6,123,customer,37.0,38.0
8,customer,7,93,customer,38.0,39.0
8,customer,8,252,customer,38.0,39.0
8,customer,9,321,customer,38.0,39.0
8,customer,10,122,customer,40.0,40.0
9,customer,1,14,customer,0.543254302761786,1.0
9,customer,2,178,customer,1.0,0.534510530177376
9,customer,3,298,customer,1.0,0.534510530177376
9,customer,4,307,customer,5.0,5.0
9,customer,5,129,customer,13.0,21.0
9,customer,6,227,customer,14.0,15.0
9,customer,7,27,customer,17.0,17.0
9,customer,8,150,customer,17.0,17.0
9,customer,9,197,customer,17.0,18.0
9,customer,10,254,customer,20.0,35.0
10,customer,1,167,customer,0.0,0.0
10,customer,2,80,customer,17.0,18.0
10,customer,3,301,customer,19.0,19.0
10,customer,4,152,customer,26.0,29.0
10,customer,5,284,customer,28.0,30.0
10,customer,6,281,customer,33.0,34.0
10,customer,7,162,customer,36.0,37.0
10,customer,8,322,customer,40.0,30.0
10,customer,9,121,customer,42.0,43.0
10,customer,10,134,customer,44.0,41.0
11,customer,1,247,customer,0.0,0.0
