origin,origin_kind,rank,destination,destination_kind,time,reverse_time
0,base,1,1,source,3,3
0,base,2,78,customer,12,12
0,base,3,243,customer,12,12
0,base,4,291,customer,12,12
0,base,5,134,customer,14,15
0,base,6,59,customer,16,18
0,base,7,185,customer,16,18
0,base,8,192,customer,16,18
0,base,9,121,customer,26,26
0,base,10,135,customer,26,22
1,source,1,0,base,3,3
1,source,2,78,customer,13,13
1,source,3,243,customer,13,13
1,source,4,291,customer,13,13
1,source,5,134,customer,15,16
1,source,6,59,customer,16,18
1,source,7,185,customer,16,18
1,source,8,192,customer,16,18
1,source,9,162,customer,26,23
1,source,10,68,customer,27,27
2,customer,1,107,customer,1,1
2,customer,2,282,customer,1,1
2,customer,3,193,customer,7,7
2,customer,4,238,customer,7,7
2,customer,5,16,customer,8,7
2,customer,6,41,customer,8,6
2,customer,7,55,customer,8,6
2,customer,8,139,customer,8,6
2,customer,9,194,customer,8,7
2,customer,10,89,customer,10,11
3,customer,1,88,customer,0,0
3,customer,2,308,customer,2,2
3,customer,3,103,customer,17,17
3,customer,4,177,customer,17,17
3,customer,5,316,customer,17,17
3,customer,6,170,customer,27,29
3,customer,7,49,customer,28,28
3,customer,8,124,customer,28,28
3,customer,9,158,customer,28,28
3,customer,10,209,customer,28,28
4,customer,1,136,customer,0,0
4,customer,2,267,customer,4,5
4,customer,3,196,customer,6,7
4,customer,4,279,customer,6,7
4,customer,5,69,customer,7,7
4,customer,6,275,customer,8,8
4,customer,7,92,customer,10,11
4,customer,8,318,customer,10,11
4,customer,9,174,customer,11,11
4,customer,10,219,customer,11,11
5,customer,1,32,customer,0,0
5,customer,2,67,customer,0,0
5,customer,3,126,customer,0,0
5,customer,4,269,customer,0,0
5,customer,5,302,customer,0,0
5,customer,6,311,customer,0,0
5,customer,7,324,customer,0,0
5,customer,8,58,customer,9,10
5,customer,9,154,customer,9,10
5,customer,10,240,customer,10,13
6,customer,1,63,customer,2,2
6,customer,2,81,customer,6,7
6,customer,3,156,customer,38,39
6,customer,4,128,customer,42,43
6,customer,5,295,customer,42,43
6,customer,6,172,customer,50,49
6,customer,7,214,customer,51,52
6,customer,8,239,customer,51,51
6,customer,9,20,customer,84,85
6,customer,10,249,customer,88,88
7,customer,1,83,customer,1,1
7,customer,2,105,customer,4,4
7,customer,3,93,customer,22,22
7,customer,4,321,customer,22,22
7,customer,5,56,customer,24,25
7,customer,6,122,customer,26,21
7,customer,7,29,customer,35,34
7,customer,8,168,customer,38,38
7,customer,9,252,customer,38,39
7,customer,10,36,customer,40,41
8,customer,1,118,customer,14,14
8,customer,2,168,customer,27,28
8,customer,3,29,customer,34,35
8,customer,4,211,customer,38,40
8,customer,5,93,customer,41,42
8,customer,6,321,customer,41,42
8,customer,7,191,customer,42,41
8,customer,8,195,customer,42,41
8,customer,9,305,customer,42,41
8,customer,10,106,customer,43,47
9,customer,1,14,customer,1,2
9,customer,2,178,customer,2,1
9,customer,3,298,customer,2,1
9,customer,4,307,customer,10,10
9,customer,5,227,customer,21,23
9,customer,6,129,customer,23,31
9,customer,7,27,customer,28,29
9,customer,8,150,customer,28,29
9,customer,9,197,customer,29,30
9,customer,10,254,customer,36,46
10,customer,1,167,customer,0,0
10,customer,2,80,customer,27,29
10,customer,3,301,customer,30,31
10,customer,4,152,customer,41,46
10,customer,5,162,customer,45,48
10,customer,6,134,customer,47,50
10,customer,7,284,customer,48,50
10,customer,8,121,customer,49,51
10,customer,9,281,customer,52,53
10,customer,10,322,customer,52,49
11,customer,1,247,customer,0,0
11,customer,2,264,customer,0,0
11,customer,3,21,customer,15,8
11,customer,4,130,customer,15,8
11,customer,5,221,customer,15,8
11,customer,6,94,customer,25,24
11,customer,7,309,customer,25,24
11,customer,8,217,customer,63,63
11,customer,9,18,customer,65,65
11,customer,10,77,customer,77,77
12,customer,1,48,customer,7,8
12,customer,2,98,customer,7,7
12,customer,3,108,customer,7,8
12,customer,4,148,customer,7,7
12,customer,5,315,customer,7,7
12,customer,6,47,customer,9,10
12,customer,7,62,customer,9,10
12,customer,8,171,customer,11,11
12,customer,9,258,customer,11,11
12,customer,10,64,customer,12,9
13,customer,1,216,customer,51,51
13,customer,2,101,customer,68,63
13,customer,3,160,customer,73,72
13,customer,4,166,customer,73,72
13,customer,5,60,customer,77,77
13,customer,6,90,customer,77,78
13,customer,7,39,customer,83,84
13,customer,8,202,customer,84,81
13,customer,9,232,customer,84,81
