shift,driver,trailer,kind,start,end,origin,destination,operation_index,point,quantity,trailer_quantity_start,trailer_quantity_end,driving_start,driving_end
0,1,9,travel,0,131,0,168,0,,0.0,21484.7628015348,21484.7628015348,0,131
1,10,7,travel,0,60,0,160,0,,0.0,4712.48601609805,4712.48601609805,0,60
2,4,10,travel,0,124,0,277,0,,0.0,19145.2388943594,19145.2388943594,0,124
3,8,0,travel,0,62,0,45,0,,0.0,4635.71450537971,4635.71450537971,0,62
4,3,13,travel,0,81,0,176,0,,0.0,23095.7152497282,23095.7152497282,0,81
1,10,7,service,60,90,,,0,160,2211.5300100326504,4712.48601609805,2500.9560060653994,60,60
3,8,0,service,62,92,,,0,45,1019.4971740722706,4635.71450537971,3616.21733130744,62,62
4,3,13,service,81,141,,,0,176,23095.7152497282,23095.7152497282,0.0,81,81
1,10,7,travel,90,148,160,1,1,,0.0,2500.9560060653994,2500.9560060653994,60,118
3,8,0,travel,92,116,45,165,1,,0.0,3616.21733130744,3616.21733130744,62,86
3,8,0,service,116,146,,,1,165,3616.21733130744,3616.21733130744,0.0,86,86
2,4,10,service,124,154,,,0,277,19145.2388943594,19145.2388943594,0.0,124,124
0,1,9,service,131,161,,,0,168,18549.479141235395,21484.7628015348,2935.283660299403,131,131
4,3,13,travel,141,226,176,1,1,,0.0,0.0,0.0,81,166
3,8,0,travel,146,187,165,1,2,,0.0,0.0,0.0,86,127
1,10,7,service,148,208,,,1,1,-18482.7115364584,2500.9560060653994,20983.6675425238,118,118
2,4,10,travel,154,279,277,1,1,,0.0,0.0,0.0,124,249
0,1,9,travel,161,187,168,106,1,,0.0,2935.283660299403,2935.283660299403,131,157
0,1,9,service,187,217,,,1,106,676.406419999998,2935.283660299403,2258.877240299405,157,157
3,8,0,service,187,247,,,2,1,-7123.80982115697,0.0,7123.80982115697,127,127
1,10,7,travel,208,294,1,294,2,,0.0,20983.6675425238,20983.6675425238,118,204
0,1,9,travel,217,331,106,154,2,,0.0,2258.877240299405,2258.877240299405,157,271
4,3,13,service,226,286,,,1,1,-23095.7152497282,0.0,23095.7152497282,166,166
