instance,file_hint,solution_file,expected_ratio,total_shift_cost,total_delivered_quantity,source_url
2.12,V2.12.xml,2.12_0.xml,0.0119500783,27326.4,2286713.504854,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.13,V2.13.xml,2.13_0.xml,0.0333969734,10196.8,305321.080313,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.14,V2.14.xml,2.14_0.xml,0.0413467827,33547.3,811364.218392,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.15,V2.15.xml,2.15_0.xml,0.0318059345,7603.9,239070.591319,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.16,V2.16.2.xml,2.16_0.xml,0.0168039645,13536.4,805547.723174,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.17,V2.17.xml,2.17_0.xml,0.0420995540,36798.6,874084.309685,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.18,V2.18.xml,2.18_0.xml,0.0417745616,37102.3,888155.245333,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.19,V2.19.xml,2.19_0.xml,0.0417313160,34177.2,818982.079719,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.20,V2.20.2.xml,2.20_0.xml,0.0183843337,39580.3,2152937.472096,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.21,V2.21.2.xml,2.21_0.xml,0.0180102328,39668.4,2202549.255924,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.22,V2.22.xml,2.22_0.xml,0.0132835322,65508.8,4931577.012720,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.23,V2.23.xml,2.23_0.xml,0.0132047178,64316.1,4870689.563692,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.24,V2.24.xml,2.24_0.xml,0.0129660974,7585.5,585024.914589,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.25,V2.25.xml,2.25_0.xml,0.0133953519,16199.6,1209341.133596,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.26,V2.26.xml,2.26_0.xml,0.0131908460,15847.1,1201373.283196,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.27,X1.xml,2.27_0.xml,0.0113080809,25642.7,2267645.851255,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.28,X2.xml,2.28_0.xml,0.0164296356,13811.0,840617.064764,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.29,X3.xml,2.29_0.xml,0.0392544722,35603.1,906981.906373,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.30,X4.xml,2.30_0.xml,0.0139875958,70138.0,5014301.820693,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
2.31,X5.xml,2.31_0.xml,0.0137987215,68143.6,4938398.293941,https://github.com/HUST-Smart/ROADEF2016-IRP-Results
