timestamp,hour,time_days,tank_level,refilled
2026-01-01T00,0,0.0,100.0,True
2026-01-01T01,1,0.041667,99.78,False
2026-01-01T02,2,0.083333,99.55,False
2026-01-01T03,3,0.125,99.33,False
2026-01-01T04,4,0.166667,99.1,False
2026-01-01T05,5,0.208333,98.88,False
2026-01-01T06,6,0.25,98.65,False
2026-01-01T07,7,0.291667,98.43,False
2026-01-01T08,8,0.333333,98.21,False
2026-01-01T09,9,0.375,97.98,False
2026-01-01T10,10,0.416667,97.76,False
2026-01-01T11,11,0.458333,97.53,False
2026-01-01T12,12,0.5,97.31,False
2026-01-01T13,13,0.541667,97.08,False
2026-01-01T14,14,0.583333,96.86,False
2026-01-01T15,15,0.625,96.63,False
2026-01-01T16,16,0.666667,96.41,False
2026-01-01T17,17,0.708333,96.19,False
2026-01-01T18,18,0.75,95.96,False
2026-01-01T19,19,0.791667,95.74,False
2026-01-01T20,20,0.833333,95.51,False
2026-01-01T21,21,0.875,95.29,False
2026-01-01T22,22,0.916667,95.06,False
2026-01-01T23,23,0.958333,94.84,False
2026-01-02T00,24,1.0,94.62,False
2026-01-02T01,25,1.041667,94.37,False
2026-01-02T02,26,1.083333,94.12,False
2026-01-02T03,27,1.125,93.87,False
2026-01-02T04,28,1.166667,93.62,False
2026-01-02T05,29,1.208333,93.37,False
2026-01-02T06,30,1.25,93.12,False
2026-01-02T07,31,1.291667,92.87,False
2026-01-02T08,32,1.333333,92.62,False
2026-01-02T09,33,1.375,92.37,False
2026-01-02T10,34,1.416667,92.13,False
2026-01-02T11,35,1.458333,91.88,False
2026-01-02T12,36,1.5,91.63,False
2026-01-02T13,37,1.541667,91.38,False
2026-01-02T14,38,1.583333,91.13,False
2026-01-02T15,39,1.625,90.88,False
2026-01-02T16,40,1.666667,90.63,False
2026-01-02T17,41,1.708333,90.38,False
2026-01-02T18,42,1.75,90.13,False
2026-01-02T19,43,1.791667,89.88,False
2026-01-02T20,44,1.833333,89.63,False
2026-01-02T21,45,1.875,89.39,False
2026-01-02T22,46,1.916667,89.14,False
2026-01-02T23,47,1.958333,88.89,False
