s,laplace_transform
0.0,8534.273310825018
0.001,8042.01784927267
0.002,7587.261047846703
0.003,7166.792171745658
0.004,6777.694132008301
0.005,6417.315470969262
0.006,6083.245099868825
0.007,5773.289512368464
0.008,5485.452225910932
0.009,5217.915228137762
0.01,4969.022228242521
0.011,4737.263533465029
0.012,4521.2623891670555
0.013,4319.7626372875675
0.014,4131.617562655413
0.015,3955.779809808768
0.016,3791.2922647947007
0.017,3637.279807035612
0.018,3492.941845878484
0.019,3357.545565000299
0.02,3230.41980552839
0.021,3110.9495256383443
0.022,2998.5707805946004
0.023,2892.766172772646
0.024,2793.060726210713
0.025,2699.0181447423793
0.026,2610.237416809154
0.027,2526.349733693634
0.028,2447.0156911872464
0.029,2371.922747653106
0.03,2300.782914094058
0.031,2233.330654221603
0.032,2169.3209746681464
0.033,2108.5276874179663
0.034,2050.74182827274
0.035,1995.7702167352224
0.036,1943.434144107053
0.037,1893.5681778689557
0.038,1846.0190715591596
0.039,1800.6447703989888
0.04,1757.3135038476016
0.041,1715.902957108454
0.042,1676.2995143684423
0.043,1638.397567235381
0.044,1602.0988824571432
0.045,1567.3120235635581
0.046,1533.95182157547
0.047,1501.938890380812
0.048,1471.1991827879556
0.049,1441.6635836382823
0.05,1413.2675366956976
0.051,1385.950702334187
0.052,1359.6566433192977
0.053,1334.3325362276562
0.054,1309.9289062735402
0.055,1286.3993835150038
0.056,1263.700478596354
0.057,1241.7913763505892
0.058,1220.6337457366833
0.059,1200.1915647237702
0.06,1180.4309588583856
0.061,1161.3200523636563
0.062,1142.8288307216678
0.063,1124.9290137827977
0.064,1107.5939385303868
0.065,1090.7984507050903
0.066,1074.5188045632844
0.067,1058.7325701065836
0.068,1043.418547177115
0.069,1028.556685865473
0.07,1014.1280127255155
0.071,1000.1145623335158
0.072,986.499313768521
0.073,973.2661316265143
0.074,960.3997112136126
0.075,947.885527593251
0.076,935.709788189599
0.077,923.8593886737889
0.078,912.3218718825337
0.079,901.0853895389419
0.08,890.1386665644031
0.081,879.4709677874025
0.082,869.0720668709541
0.083,858.932217294535
0.084,849.0421252397845
0.085,839.3929242408732
0.086,829.9761514718487
0.087,820.7837255529371
0.088,811.8079257673294
0.089,803.0413725882013
0.09,794.4770094236192
0.091,786.1080854939378
0.092,777.9281397630352
0.093,769.930985850456
0.094,762.1106978572635
0.095,754.4615970433426
0.096,746.9782392985528
0.097,739.6554033544191
0.098,732.4880796869899
0.099,725.4714600650917
0.1,718.6009277015477
0.101,711.8720479680372
0.102,705.280559637031
0.103,698.8223666169237
0.104,692.4935301488634
0.105,686.2902614359549
0.106,680.2089146776857
0.107,674.2459804842217
0.108,668.3980796469618
0.109,662.6619572434588
0.11,657.0344770562581
0.111,651.5126162865628
0.112,646.0934605449434
0.113,640.7741991026139
0.114,635.5521203876501
0.115,630.4246077118169
0.116,625.3891352144626
0.117,620.4432640108545
0.118,615.5846385331492
0.119,610.8109830530261
0.12,606.1200983755608
0.121,601.5098586947037
0.122,596.9782086013345
0.123,592.5231602353471
0.124,588.1427905738311
0.125,583.8352388478705
0.126,579.5987040809472
0.127,575.4314427423883
0.128,571.3317665096489
0.129,567.2980401336326
0.13,563.3286794015985
0.131,559.4221491924999
0.132,555.5769616199616
0.133,551.7916742582966
0.134,548.0648884473418
0.135,544.3952476720095
0.136,540.7814360128423
0.137,537.2221766638773
0.138,533.7162305145786
