s,laplace_transform
0.0,9253.345000000003
0.001,8716.709074844552
0.002,8221.436385719415
0.003,7763.9573624439445
0.004,7341.030081043826
0.005,6949.708991750257
0.006,6587.316713340374
0.007,6251.418587152012
0.008,5939.799715243327
0.009,5650.444235105427
0.01,5381.516608406225
0.011,5131.344723743556
0.012,4898.404633581224
0.013,4681.306763671573
0.014,4478.783449545915
0.015,4289.677669270977
0.016,4112.932854796582
0.017,3947.583676010931
0.018,3792.74770221238
0.019,3647.6178552236747
0.02,3511.4555769269305
0.021,3383.5846416841323
0.022,3263.3855510171647
0.023,3150.2904541330845
0.024,3043.7785434659027
0.025,2943.371879429221
0.026,2848.6316030924163
0.027,2759.1544995577497
0.028,2674.5698784732285
0.029,2594.5367414075927
0.03,2518.7412087762627
0.031,2446.894181674542
0.032,2378.729216375814
0.033,2314.00059141538
0.034,2252.4815491290105
0.035,2193.9626952703816
0.036,2138.2505419135086
0.037,2085.1661802717235
0.038,2034.5440713500986
0.039,1986.2309435068935
0.04,1940.0847870447658
0.041,1895.9739368951844
0.042,1853.7762353100634
0.043,1813.3782672422299
0.044,1774.6746617892125
0.045,1737.5674537003838
0.046,1701.9654995124595
0.047,1667.783943388596
0.048,1634.943728197386
0.049,1603.371147784706
0.05,1572.997436767982
0.051,1543.758394522971
0.052,1515.59404034114
0.053,1488.448297014314
0.054,1462.2687003553579
0.055,1437.0061323918653
0.056,1412.6145761763576
0.057,1389.0508903436387
0.058,1366.2746017153486
0.059,1344.2477144054103
0.06,1322.9345340191348
0.061,1302.3015056650636
0.062,1282.3170646129427
0.063,1262.9514985351937
0.064,1244.1768203632755
0.065,1225.9666508760604
0.066,1208.2961102148493
0.067,1191.141717590249
0.068,1174.4812985102617
0.069,1158.2938989171275
0.07,1142.5597056734907
0.071,1127.2599728865769
0.072,1112.3769536029824
0.073,1097.893836446466
0.074,1083.7946868075837
0.075,1070.06439222696
0.076,1056.688611644256
0.077,1043.6537282122672
0.078,1030.9468054007173
0.079,1018.5555461371023
0.08,1006.4682547528425
0.081,994.6738015219903
0.082,983.1615895971597
0.083,971.9215241632016
0.084,960.9439836436594
0.085,950.2197928083216
0.086,939.7401976423183
0.087,929.4968418482964
0.088,919.4817448634062
0.089,909.6872812821006
0.09,900.1061615843084
0.091,890.7314140763435
0.092,881.5563679590779
0.093,872.5746374444828
0.094,863.7801068476874
0.095,855.1669165872094
0.096,846.7294500311415
0.097,838.4623211317275
0.098,830.3603627950545
0.099,822.4186159365667
0.1,814.6323191767078
0.101,806.9968991343751
0.102,799.5079612789536
0.103,792.1612813044984
0.104,784.9527969923105
0.105,777.8786005305196
0.106,770.9349312615358
0.107,764.1181688302879
0.108,757.4248267080678
0.109,750.8515460685354
0.11,744.3950899940822
0.111,738.0523379922549
0.112,731.8202808032966
0.113,725.6960154811799
0.114,719.6767407316876
0.115,713.7597524921821
0.116,707.9424397387388
0.117,702.2222805072834
0.118,696.5968381162046
0.119,691.0637575787808
